Date,Score,Median,i-day,M-day,Ties,N <,N >,Need
11/19/21 12:00 AM,"114,260","114,260",B2,"114,260",1,0,0,1
,"119,700","116,980",B2,"116,980",0,1,1,0
,"104,550","114,260",B2,"114,260",1,1,1,1
,"118,540","116,400",B2,"116,400",0,2,2,0
,"104,570","114,260",B2,"114,260",1,2,2,1
,"119,430","116,400",B2,"116,400",0,3,3,0
,"115,890","115,890",B2,"115,890",1,3,3,1
,"119,650","117,215",B2,"117,215",0,4,4,0
,"116,840","116,840",B2,"116,840",1,4,4,1
,"117,820","117,330",B2,"117,330",0,5,5,0
,"103,120","116,840",B2,"116,840",1,5,5,1
,"119,170","117,330",B2,"117,330",0,6,6,0
,"91,780","116,840",B2,"116,840",1,6,6,1
,"119,900","117,330",B2,"117,330",0,7,7,0
11/20/21 12:00 AM,"115,370","116,840",B16,"115,370",1,7,7,1
,"120,310","117,330",B16,"117,840",0,8,8,0
,"119,830","117,820",B16,"119,830",1,8,8,1
,"118,740","118,180",B16,"119,285",0,9,9,0
,"110,640","117,820",B16,"118,740",1,9,9,1
,"119,710","118,180",B16,"119,225",0,10,10,0
,"112,740","117,820",B16,"118,740",1,10,10,1
,"111,560","117,330",B16,"117,055",0,11,11,0
,"116,710","116,840",B16,"116,710",1,11,11,1
,"119,310","117,330",B16,"117,725",0,12,12,0
,"114,740","116,840",B16,"116,710",1,12,12,1
,"117,190","117,015",B16,"116,950",0,13,13,0
,"67,150","116,840",B16,"116,710",1,13,13,1
,"119,210","117,015",B16,"116,950",0,14,14,0
,"116,900","116,900",B16,"116,900",1,14,14,1
,"114,770","116,870",B16,"116,805",0,15,15,0
,"113,500","116,840",B16,"116,710",1,15,15,1
,"120,180","116,870",B16,"116,805",0,16,16,0
,"105,020","116,840",B16,"116,710",1,16,16,1
,"116,920","116,870",B16,"116,805",0,17,17,0
,"119,150","116,900",B16,"116,900",1,17,17,1
,"114,570","116,870",B16,"116,805",0,18,18,0
,"93,430","116,840",B16,"116,710",1,18,18,1
,"113,370","116,775",B16,"116,040",0,19,19,0
,"72,230","116,710",B16,"115,370",1,19,19,1
,"116,260","116,485",B16,"115,815",0,20,20,0
,"117,810","116,710",B16,"116,260",1,20,20,1
,"108,090","116,485",B16,"115,815",0,21,21,0
,"114,650","116,260",B16,"115,370",1,21,21,1
,"117,490","116,485",B16,"115,815",0,22,22,0
,"116,790","116,710",B16,"116,260",1,22,22,1
,"116,930","116,750",B16,"116,485",0,23,23,0
,"118,540","116,790",B16,"116,710",1,23,23,1
,"119,970","116,815",B16,"116,750",0,24,24,0
,"119,200","116,840",B16,"116,790",1,24,24,1
,"113,710","116,815",B16,"116,750",0,25,25,0
,"120,420","116,840",B16,"116,790",1,25,25,1
,"113,400","116,815",B16,"116,750",0,26,26,0
,"119,360","116,840",B16,"116,790",1,26,26,1
,"114,160","116,815",B16,"116,750",0,27,27,0
,"105,800","116,790",B16,"116,710",1,27,27,1
11/22/21 12:00 AM,"119,530","116,815",B57,"119,530",0,28,28,0
,"118,300","116,840",B57,"118,915",1,28,28,1
,"114,700","116,815",B57,"118,300",0,29,29,0
,"94,350","116,790",B57,"116,500",1,29,29,1
,"81,280","116,750",B57,"114,700",0,30,30,0
,"38,650","116,710",B57,"104,525",1,30,30,1
,"105,740","116,485",B57,"105,740",0,31,31,0
,"118,810","116,710",B57,"110,220",1,31,31,1
,"119,720","116,750",B57,"114,700",0,32,32,0
,"115,440","116,710",B57,"115,070",1,32,32,1
,"117,410","116,750",B57,"115,440",0,33,33,0
,"111,420","116,710",B57,"115,070",1,33,33,1
,"118,360","116,750",B57,"115,440",0,34,34,0
,"120,310","116,790",B57,"116,425",1,34,34,1
,"117,840","116,815",B57,"117,410",0,35,35,0
,"99,180","116,790",B57,"116,425",1,35,35,1
,"120,320","116,815",B57,"117,410",0,36,36,0
,"106,970","116,790",B57,"116,425",1,36,36,1
,"115,380","116,750",B57,"115,440",0,37,37,0
,"107,480","116,710",B57,"115,410",1,37,37,1
,"92,890","116,485",B57,"115,380",0,38,38,0
11/25/21 12:00 AM,"115,150","116,260",B78,"115,150",1,38,38,1
,"73,150","116,075",B78,"94,150",0,39,39,0
,"113,810","115,890",B78,"113,810",1,39,39,1
,"115,910","115,900",B78,"114,480",0,40,40,0
,"101,550","115,890",B78,"113,810",1,40,40,1
11/29/21 12:00 AM,"83,840","115,665",B83,"83,840",0,41,41,0
,"119,440","115,890",B83,"101,640",1,41,41,1
,"113,280","115,665",B83,"113,280",0,42,42,0
,"113,030","115,440",B83,"113,155",1,42,42,1
,"96,210","115,410",B83,"113,030",0,43,43,0
,"113,900","115,380",B83,"113,155",1,43,43,1
,"115,460","115,410",B83,"113,280",0,44,44,0
,"118,560","115,440",B83,"113,590",1,44,44,1
,"112,150","115,410",B83,"113,280",0,45,45,0
,"109,090","115,380",B83,"113,155",1,45,45,1
,"104,190","115,375",B83,"113,030",0,46,46,0
,"111,680","115,370",B83,"112,590",1,46,46,1
,"117,240","115,375",B83,"113,030",0,47,47,0
,"115,400","115,380",B83,"113,155",1,47,47,1
,"78,740","115,375",B83,"113,030",0,48,48,0
,"110,010","115,370",B83,"112,590",1,48,48,1
,"119,760","115,375",B83,"113,030",0,49,49,0
,"117,660","115,380",B83,"113,155",1,49,49,1
,"109,660","115,375",B83,"113,030",0,50,50,0
,"94,440","115,370",B83,"112,590",1,50,50,1
11/30/21 12:00 AM,"117,430","115,375",B103,"117,430",0,51,51,0
,"117,170","115,380",B103,"117,300",1,51,51,1
,"119,380","115,390",B103,"117,430",0,52,52,0
,"120,360","115,400",B103,"118,405",1,52,52,1
,"113,840","115,390",B103,"117,430",0,53,53,0
,"103,420","115,380",B103,"117,300",1,53,53,1
,"119,510","115,390",B103,"117,430",0,54,54,0
,"118,320","115,400",B103,"117,875",1,54,54,1
,"118,100","115,420",B103,"118,100",0,55,55,0
,"118,910","115,440",B103,"118,210",1,55,55,1
,"117,670","115,450",B103,"118,100",0,56,56,0
,"121,040","115,460",B103,"118,210",1,56,56,1
,"97,530","115,450",B103,"118,100",0,57,57,0
,"112,940","115,440",B103,"117,885",1,57,57,1
,"117,860","115,450",B103,"117,860",0,58,58,0
,"117,370","115,460",B103,"117,765",1,58,58,1
,"118,670","115,675",B103,"117,860",0,59,59,0
12/1/21 12:00 AM,"118,210","115,890",B120,"118,210",1,59,59,1
,"118,520","115,900",B120,"118,365",0,60,60,0
,"119,260","115,910",B120,"118,520",1,60,60,1
,"119,160","116,085",B120,"118,840",0,61,61,0
,"118,840","116,260",B120,"118,840",1,61,61,1
12/2/21 12:00 AM,"113,180","116,085",B125,"113,180",0,62,62,0
,"119,000","116,260",B125,"116,090",1,62,62,1
,"111,840","116,085",B125,"113,180",0,63,63,0
,"113,340","115,910",B125,"113,260",1,63,63,1
,"107,850","115,900",B125,"113,180",0,64,64,0
,"114,760","115,890",B125,"113,260",1,64,64,1
,"101,650","115,675",B125,"113,180",0,65,65,0
,"110,300","115,460",B125,"112,510",1,65,65,1
,"113,320","115,450",B125,"113,180",0,66,66,0
,"115,800","115,460",B125,"113,250",1,66,66,1
,"116,370","115,630",B125,"113,320",0,67,67,0
,"113,480","115,460",B125,"113,330",1,67,67,1
,"115,190","115,450",B125,"113,340",0,68,68,0
,"120,000","115,460",B125,"113,410",1,68,68,1
,"113,510","115,450",B125,"113,480",0,69,69,0
,"120,040","115,460",B125,"113,495",1,69,69,1
,"116,310","115,630",B125,"113,510",0,70,70,0
,"118,810","115,800",B125,"114,135",1,70,70,1
,"119,850","115,845",B125,"114,760",0,71,71,0
,"118,390","115,890",B125,"114,975",1,71,71,1
12/3/21 12:00 AM,"80,650","115,845",B145,"80,650",0,72,72,0
,"116,280","115,890",B145,"98,465",1,72,72,1
,"117,690","115,900",B145,"116,280",0,73,73,0
,"93,370","115,890",B145,"104,825",1,73,73,1
,"88,740","115,845",B145,"93,370",0,74,74,0
,"116,730","115,890",B145,"104,825",1,74,74,1
,"118,910","115,900",B145,"116,280",0,75,75,0
,"99,610","115,890",B145,"107,945",1,75,75,1
,"119,320","115,900",B145,"116,280",0,76,76,0
,"116,320","115,910",B145,"116,300",1,76,76,1
,"118,690","116,085",B145,"116,320",0,77,77,0
,"118,000","116,260",B145,"116,525",1,77,77,1
,"120,680","116,270",B145,"116,730",0,78,78,0
,"120,510","116,280",B145,"117,210",1,78,78,1
,"120,730","116,295",B145,"117,690",0,79,79,0
,"116,950","116,310",B145,"117,320",1,79,79,1
,"119,630","116,315",B145,"117,690",0,80,80,0
,"119,920","116,320",B145,"117,845",1,80,80,1
,"119,350","116,345",B145,"118,000",0,81,81,0
,"121,550","116,370",B145,"118,345",1,81,81,1
,"118,720","116,540",B145,"118,690",0,82,82,0
,"120,430","116,710",B145,"118,705",1,82,82,1
,"108,340","116,540",B145,"118,690",0,83,83,0
,"111,670","116,370",B145,"118,345",1,83,83,1
,"116,860","116,540",B145,"118,000",0,84,84,0
,"106,860","116,370",B145,"117,845",1,84,84,1
,"118,100","116,540",B145,"118,000",0,85,85,0
,"91,160","116,370",B145,"117,845",1,85,85,1
12/4/21 12:00 AM,"110,980","116,345",B173,"110,980",0,86,86,0
,"116,660","116,370",B173,"113,820",1,86,86,1
,"24,920","116,345",B173,"110,980",0,87,87,0
,"115,020","116,320",B173,"113,000",1,87,87,1
,"116,210","116,315",B173,"115,020",0,88,88,0
,"117,250","116,320",B173,"115,615",1,88,88,1
12/5/21 12:00 AM,"98,950","116,315",B179,"98,950",0,89,89,0
,"113,720","116,310",B179,"106,335",1,89,89,1
,"77,870","116,295",B179,"98,950",0,90,90,0
,"111,290","116,280",B179,"105,120",1,90,90,1
12/6/21 12:00 AM,"114,980","116,270",B183,"114,980",0,91,91,0
,"71,480","116,260",B183,"93,230",1,91,91,1
,"117,340","116,270",B183,"114,980",0,92,92,0
,"70,040","116,260",B183,"93,230",1,92,92,1
,"116,680","116,270",B183,"114,980",0,93,93,0
,"121,070","116,280",B183,"115,830",1,93,93,1
,"64,300","116,270",B183,"114,980",0,94,94,0
12/9/21 12:00 AM,"43,900","116,260",B190,"43,900",1,94,94,1
,"62,720","116,235",B190,"53,310",0,95,95,0
,"116,690","116,260",B190,"62,720",1,95,95,1
,"117,070","116,270",B190,"89,705",0,96,96,0
,"117,540","116,280",B190,"116,690",1,96,96,1
,"41,560","116,270",B190,"89,705",0,97,97,0
12/10/21 12:00 AM,"114,240","116,260",B196,"114,240",1,97,97,1
,"106,720","116,235",B196,"110,480",0,98,98,0
,"118,770","116,260",B196,"114,240",1,98,98,1
,"118,580","116,270",B196,"116,410",0,99,99,0
,"111,090","116,260",B196,"114,240",1,99,99,1
,"101,810","116,235",B196,"112,665",0,100,100,0
,"110,030","116,210",B196,"111,090",1,100,100,1
,"90,450","116,060",B196,"110,560",0,101,101,0
,"121,390","116,210",B196,"111,090",1,101,101,1
,"100,240","116,060",B196,"110,560",0,102,102,0
,"116,160","116,160",B196,"111,090",1,102,102,1
,"86,720","116,035",B196,"110,560",0,103,103,0
,"65,310","115,910",B196,"110,030",1,103,103,1
,"115,960","115,935",B196,"110,560",0,104,104,0
,"117,370","115,960",B196,"111,090",1,104,104,1
,"120,340","116,060",B196,"112,665",0,105,105,0
,"112,840","115,960",B196,"112,840",1,105,105,1
,"117,520","116,060",B196,"113,540",0,106,106,0
,"120,510","116,160",B196,"114,240",1,106,106,1
,"118,130","116,185",B196,"115,100",0,107,107,0
,"111,910","116,160",B196,"114,240",1,107,107,1
12/12/21 12:00 AM,"101,660","116,060",B217,"101,660",0,108,108,0
,"118,220","116,160",B217,"109,940",1,108,108,1
,"117,480","116,185",B217,"117,480",0,109,109,0
,"114,720","116,160",B217,"116,100",1,109,109,1
,"118,460","116,185",B217,"117,480",0,110,110,0
,"81,290","116,160",B217,"116,100",1,110,110,1
,"103,460","116,060",B217,"114,720",0,111,111,0
,"117,190","116,160",B217,"115,955",1,111,111,1
,"117,180","116,185",B217,"117,180",0,112,112,0
,"119,570","116,210",B217,"117,185",1,112,112,1
,"111,320","116,185",B217,"117,180",0,113,113,0
,"99,680","116,160",B217,"115,950",1,113,113,1
,"121,500","116,185",B217,"117,180",0,114,114,0
,"119,500","116,210",B217,"117,185",1,114,114,1
,"107,730","116,185",B217,"117,180",0,115,115,0
,"104,850","116,160",B217,"115,950",1,115,115,1
,"116,250","116,185",B217,"116,250",0,116,116,0
,"109,860","116,160",B217,"115,485",1,116,116,1
,"118,000","116,185",B217,"116,250",0,117,117,0
,"110,130","116,160",B217,"115,485",1,117,117,1
,"120,130","116,185",B217,"116,250",0,118,118,0
12/13/21 12:00 AM,"119,000","116,210",B238,"119,000",1,118,118,1
,"118,690","116,230",B238,"118,845",0,119,119,0
,"116,880","116,250",B238,"118,690",1,119,119,1
,"119,040","116,255",B238,"118,845",0,120,120,0
,"90,010","116,250",B238,"118,690",1,120,120,1
,"116,890","116,255",B238,"117,790",0,121,121,0
,"121,270","116,260",B238,"118,690",1,121,121,1
,"116,470","116,270",B238,"117,790",0,122,122,0
,"118,710","116,280",B238,"118,690",1,122,122,1
